jellycatsizeid,jellycatid,jellycatname,size,height,width,price,stock,datecreated
fc53411b-01b9-488e-a1c2-935ebb671c36,120936c5-5727-4deb-b01b-202c9c56e84f,Bashful Luxe Bunny Azure,HUGE,20.0,8.0,85.0,In Stock,2024-01-10 08:28:35
12269022-bce7-4173-8694-7cc0c63c6a5c,120936c5-5727-4deb-b01b-202c9c56e84f,Bashful Luxe Bunny Azure,MEDIUM,12.0,5.0,35.0,In Stock,2024-01-10 08:28:35
a712878b-2922-47a2-abf5-708c18b45190,258d9aad-69ec-48f8-a64c-69362f6dc6da,All Kinds of Cats Book,ONE SIZE,9.0,7.0,15.0,In Stock,2024-01-10 08:28:37
6516a249-8feb-4339-9fa0-144f48372e68,ffdfc54a-f86e-41ed-8d08-442511ce163f,Fergus Frog,ONE SIZE,13.0,4.0,50.0,In Stock,2024-01-10 08:28:39
ba83ff98-2b64-461b-8cb1-ab7306761f22,91e5cd46-e23a-4c85-800a-ed7f9b496949,Jellycat Head Giant,ONE SIZE,22.0,24.0,220.0,In Stock,2024-01-10 08:28:40
c1076f94-ecf2-4598-b5ab-08eb4982e036,b9bc63d3-6fe8-4f02-bf2c-f94012696d43,Jellycat Jack,REALLY BIG,26.0,9.0,165.0,In Stock,2024-01-10 08:28:42
63c2fd89-3c30-49bf-9113-03ac7da01c69,b9bc63d3-6fe8-4f02-bf2c-f94012696d43,Jellycat Jack,HUGE,19.0,6.0,110.0,In Stock,2024-01-10 08:28:42
cbfda7f6-adc0-423a-b698-a19f78720aec,b9bc63d3-6fe8-4f02-bf2c-f94012696d43,Jellycat Jack,MEDIUM,13.0,4.0,45.0,More on the way,2024-01-10 08:28:42
b1b5e1f9-e4d0-4281-8bbb-a25bd561d51c,4539b0a5-aa4b-4a9f-869d-ac9f5faa76ed,Jellycat Bag Charm,ONE SIZE,5.0,4.0,28.0,In Stock,2024-01-10 08:28:44
27e787b8-f6ab-452e-9ef6-1bfa3ff7b8ef,38748c1b-c212-4865-8e9d-b4b4746dd01a,Jellycat Bag,ONE SIZE,6.0,9.0,45.0,In Stock,2024-01-10 08:28:46
0d4db38b-b7b9-49c4-b924-06562f51479a,6bfa4f82-ffc1-48a4-b2fb-94882aa62729,Junglie Monkey,MEDIUM,18.0,7.0,55.0,In Stock,2024-01-10 08:28:47
9f1994ba-239a-4dd2-9698-9037bfe087ab,f830f044-0394-4599-8e02-86449b440f0f,Truffles Sheep,LARGE,9.0,25.0,110.0,In Stock,2024-01-10 08:28:49
5f372423-a159-4ec1-a517-f7dc19058f51,891d0a86-63ac-4bda-a0c0-4ecdd5bace3a,Golden Dragon,HUGE,7.0,26.0,120.0,In Stock,2024-01-10 08:28:51
30c5d472-a8fb-4094-a3bd-f2bd4525e1c6,891d0a86-63ac-4bda-a0c0-4ecdd5bace3a,Golden Dragon,LARGE,5.0,20.0,65.0,In Stock,2024-01-10 08:28:51
52c4ef3d-d0ae-4265-92b0-065afda4ab28,891d0a86-63ac-4bda-a0c0-4ecdd5bace3a,Golden Dragon,LITTLE,3.0,12.0,32.5,In Stock,2024-01-10 08:28:51
