jellycatsizeid,jellycatid,jellycatname,size,height,width,price,stock,datecreated
b7312f45-1be3-4fd4-aced-ca0ed1b37d7c,1e3f1e53-b38d-4813-acaa-debcef5fe00a,Bartholomew Bear Pumpkin,LARGE,14.0,8.0,55.0,In Stock,2024-01-12 13:13:24
8d493b3e-f275-41c3-bb02-26cec929ccf9,2d9eb927-7a72-4095-ba2f-76ad16f5e3ea,Bashful Luxe Bunny Azure,HUGE,20.0,8.0,85.0,In Stock,2024-01-12 13:13:26
f5565bca-9793-41af-927a-546eb2bdad96,2d9eb927-7a72-4095-ba2f-76ad16f5e3ea,Bashful Luxe Bunny Azure,MEDIUM,12.0,5.0,35.0,In Stock,2024-01-12 13:13:26
4eab78a7-b9c8-4154-bb35-8a0b5700b552,e5d558ac-671f-4b78-abaa-de238d395056,All Kinds of Cats Book,ONE SIZE,9.0,7.0,15.0,In Stock,2024-01-12 13:13:28
c821a85f-d2ab-4375-971a-72c46ec90797,a79c89b2-f08f-43f3-8d26-06910644c76b,Fergus Frog,ONE SIZE,13.0,4.0,50.0,In Stock,2024-01-12 13:13:29
814661f3-b246-4247-8da7-c4150eb2b10e,0c8f6bbb-b60f-43cd-a497-6c37ca38e782,Jellycat Head Giant,ONE SIZE,22.0,24.0,220.0,In Stock,2024-01-12 13:13:31
c83079b9-e450-4dd2-9781-d588d4ed0970,001eb1de-ab7e-4fdb-86ec-7ac8b74c3d33,Jellycat Jack,REALLY BIG,26.0,9.0,165.0,In Stock,2024-01-12 13:13:33
5bdc7646-4d5b-44aa-a9f6-24d166af3237,001eb1de-ab7e-4fdb-86ec-7ac8b74c3d33,Jellycat Jack,HUGE,19.0,6.0,110.0,In Stock,2024-01-12 13:13:33
9e6ec5ed-e9d5-4f4c-aeb8-a6ccafa7edb6,001eb1de-ab7e-4fdb-86ec-7ac8b74c3d33,Jellycat Jack,MEDIUM,13.0,4.0,45.0,More on the way,2024-01-12 13:13:33
3624effa-9ba4-414e-b076-51a5dab4a0f5,a497f46c-02ae-4613-bb46-a94506d98808,Jellycat Bag Charm,ONE SIZE,5.0,4.0,28.0,In Stock,2024-01-12 13:13:35
