jellycatid,jellycatname,category,link,imagelink,datecreated
1e3f1e53-b38d-4813-acaa-debcef5fe00a,Bartholomew Bear Pumpkin,Collections/Super Softies,/us/bartholomew-bear-pumpkin-barl2pum/,https://www.jellycat.com/images/products/medium/BARL2PUM.jpg,2024-01-12 13:13:19
2d9eb927-7a72-4095-ba2f-76ad16f5e3ea,Bashful Luxe Bunny Azure,Collections/Bashful Bunnies,/us/bashful-luxe-bunny-azure-bas3azu/,https://www.jellycat.com/images/products/medium/BAS3AZU.jpg,2024-01-12 13:13:19
e5d558ac-671f-4b78-abaa-de238d395056,All Kinds of Cats Book,Books/Story Books,/us/all-kinds-of-cats-book-bk4cats/,https://www.jellycat.com/images/products/medium/BK4CATS.jpg,2024-01-12 13:13:19
a79c89b2-f08f-43f3-8d26-06910644c76b,Fergus Frog,Collections/Super Softies,/us/fergus-frog-ff3fe/,https://www.jellycat.com/images/products/medium/FF3FE.jpg,2024-01-12 13:13:19
0c8f6bbb-b60f-43cd-a497-6c37ca38e782,Jellycat Head Giant,Collections/Super Softies,/us/jellycat-head-giant-jelc1d/,https://www.jellycat.com/images/products/medium/JELC1D.jpg,2024-01-12 13:13:19
001eb1de-ab7e-4fdb-86ec-7ac8b74c3d33,Jellycat Jack,Collections/Super Softies,/us/jellycat-jack-jelc3m/,https://www.jellycat.com/images/products/medium/JELC3M.jpg,2024-01-12 13:13:19
a497f46c-02ae-4613-bb46-a94506d98808,Jellycat Bag Charm,Collections/Super Softies,/us/jellycat-bag-charm-jelc4bc/,https://www.jellycat.com/images/products/medium/JELC4BC.jpg,2024-01-12 13:13:19
f373df2e-c8e3-4233-8c42-ed0b5767ee58,Jellycat Bag,Collections/Super Softies,/us/jellycat-bag-jelc4bg/,https://www.jellycat.com/images/products/medium/JELC4BG.jpg,2024-01-12 13:13:19
dda0347c-d194-410f-a4bc-70aae30bcfbb,Junglie Monkey,Collections/Super Softies,/us/junglie-monkey-jun3mk/,https://www.jellycat.com/images/products/medium/JUN3MK.jpg,2024-01-12 13:13:19
8ccd7399-200c-4f84-b5fb-cd86327cdf00,Truffles Sheep,Collections/Super Softies,/us/truffles-sheep-tr2se/,https://www.jellycat.com/images/products/medium/TR2SE.jpg,2024-01-12 13:13:19
1c8f6edd-6e9e-410a-81d5-667f77af8544,Darvin Dragon,Collections/Colourful & Quirky,/us/darvin-dragon-dar3d/,https://www.jellycat.com/images/products/medium/DAR3D.jpg,2024-01-12 13:13:19
39e16253-b913-4a80-8124-5a50652aef8b,Golden Dragon,Collections/Beautifully Scrumptious,/us/golden-dragon-gld2dd/,https://www.jellycat.com/images/products/medium/GLD2DD.jpg,2024-01-12 13:13:19
44f322e0-1e88-4f41-bb91-95dd75315711,Golden Dragon Bag Charm,Bags/Bag Charms,/us/golden-dragon-bag-charm-gld4bc/,https://www.jellycat.com/images/products/medium/GLD4BC.jpg,2024-01-12 13:13:19
b4e8e9f5-530f-48f7-ab12-1593f6b2112c,Lavender Dragon Bag Charm,Bags/Bag Charms,/us/lavender-dragon-bag-charm-lav4bc/,https://www.jellycat.com/images/products/medium/LAV4BC.jpg,2024-01-12 13:13:19
b6b78cce-d3f3-447a-9711-4d57b7bb8147,Little Dragon Bag Charm,Bags/Bag Charms,/us/little-dragon-bag-charm-ldg4bc/,https://www.jellycat.com/images/products/medium/LDG4BC.jpg,2024-01-12 13:13:19
7b691204-0f05-4451-887d-3cb627390ae1,Rose Dragon Bag Charm,Bags/Bag Charms,/us/rose-dragon-bag-charm-rose4bc/,https://www.jellycat.com/images/products/medium/ROSE4BC.jpg,2024-01-12 13:13:19
bc54c9a3-aeec-436e-9038-cd11114d87a7,Snow Dragon Bag Charm,Bags/Bag Charms,/us/snow-dragon-bag-charm-snw4bc/,https://www.jellycat.com/images/products/medium/SNW4BC.jpg,2024-01-12 13:13:19
042768a3-d22c-49b5-a0e1-8375953155d4,Aimee Sheep,Collections/Colourful & Quirky,/us/aimee-sheep-ame2s/,https://www.jellycat.com/images/products/medium/AME2S.jpg,2024-01-12 13:13:19
f3d2f5c2-03cd-4dfa-a5be-28a708a76a21,Bashful Red Love Heart Bunny,Collections/Colourful & Quirky,/us/bashful-red-love-heart-bunny-bb3love/,https://www.jellycat.com/images/products/medium/BB3LOVE.jpg,2024-01-12 13:13:19
c8b1673a-e66a-42b8-af91-fbf52eaa3602,Fabian Frog Prince,Collections/Colourful & Quirky,/us/fabian-frog-prince-fp3fab/,https://www.jellycat.com/images/products/medium/FP3FAB.jpg,2024-01-12 13:13:19
2986342d-1941-4cc2-a8c1-91e2b8fe03d8,Loulou Love Bug,Collections/Colourful & Quirky,/us/loulou-love-bug-l6lbug/,https://www.jellycat.com/images/products/medium/L6LBUG.jpg,2024-01-12 13:13:19
