jellycatsizeid,jellycatid,jellycatname,size,height,width,price,stock,datecreated
3ce8bd90-8e8f-4bf1-ab91-0c051df96dea,e9c7c0d1-9fc1-4460-bf9a-3aec4e440c13,Bartholomew Bear Pumpkin,LARGE,14.0,8.0,55.0,In Stock,2024-01-13 10:08:38
e5e2aa17-fd36-4725-a4da-a73c33fd4b1a,9db07829-53a7-45b5-98a4-9aa4c8c03d4b,Bashful Luxe Bunny Azure,HUGE,20.0,8.0,85.0,In Stock,2024-01-13 10:08:40
bb4ba1ed-26f9-4e0e-b543-cef0b6e11a84,9db07829-53a7-45b5-98a4-9aa4c8c03d4b,Bashful Luxe Bunny Azure,MEDIUM,12.0,5.0,35.0,In Stock,2024-01-13 10:08:40
b0e58b11-1cb6-43ae-b972-0bfa625d5a33,5a60711b-1c4a-4b06-9a4c-88e7b722d3ae,All Kinds of Cats Book,ONE SIZE,9.0,7.0,15.0,In Stock,2024-01-13 10:08:42
869460e5-3c6b-4dc5-be8b-84e9ee672985,1a613929-8434-4a40-9835-acf8efc3251d,Fergus Frog,ONE SIZE,13.0,4.0,50.0,In Stock,2024-01-13 10:08:43
02822290-9467-4779-a144-2faf0e687b1c,d138ffe3-3955-45de-9ebf-f0fc81065fe7,Jellycat Head Giant,ONE SIZE,22.0,24.0,220.0,In Stock,2024-01-13 10:08:45
7bb97399-f7b4-4533-a232-149308f32b9c,2e155cc0-1d65-46ec-a7b7-b354caad9cf3,Jellycat Jack,REALLY BIG,26.0,9.0,165.0,In Stock,2024-01-13 10:08:47
485fd6c2-13f6-402f-83d9-6cac947e7800,2e155cc0-1d65-46ec-a7b7-b354caad9cf3,Jellycat Jack,HUGE,19.0,6.0,110.0,In Stock,2024-01-13 10:08:47
e1497dce-34b3-4592-8941-cf3fad453a30,2e155cc0-1d65-46ec-a7b7-b354caad9cf3,Jellycat Jack,MEDIUM,13.0,4.0,45.0,More on the way,2024-01-13 10:08:47
d093a9a6-0418-415e-9675-6432b388a172,670ff705-1913-4fb4-87ec-615c97cef092,Jellycat Bag Charm,ONE SIZE,5.0,4.0,28.0,In Stock,2024-01-13 10:08:48
