jellycatid,jellycatname,category,link,imagelink,datecreated
120936c5-5727-4deb-b01b-202c9c56e84f,Bashful Luxe Bunny Azure,Collections/Bashful Bunnies,/us/bashful-luxe-bunny-azure-bas3azu/,https://www.jellycat.com/images/products/medium/BAS3AZU.jpg,2024-01-10 08:28:30
258d9aad-69ec-48f8-a64c-69362f6dc6da,All Kinds of Cats Book,Books/Story Books,/us/all-kinds-of-cats-book-bk4cats/,https://www.jellycat.com/images/products/medium/BK4CATS.jpg,2024-01-10 08:28:30
ffdfc54a-f86e-41ed-8d08-442511ce163f,Fergus Frog,Collections/Super Softies,/us/fergus-frog-ff3fe/,https://www.jellycat.com/images/products/medium/FF3FE.jpg,2024-01-10 08:28:30
91e5cd46-e23a-4c85-800a-ed7f9b496949,Jellycat Head Giant,Collections/Super Softies,/us/jellycat-head-giant-jelc1d/,https://www.jellycat.com/images/products/medium/JELC1D.jpg,2024-01-10 08:28:30
b9bc63d3-6fe8-4f02-bf2c-f94012696d43,Jellycat Jack,Collections/Super Softies,/us/jellycat-jack-jelc3m/,https://www.jellycat.com/images/products/medium/JELC3M.jpg,2024-01-10 08:28:30
4539b0a5-aa4b-4a9f-869d-ac9f5faa76ed,Jellycat Bag Charm,Collections/Super Softies,/us/jellycat-bag-charm-jelc4bc/,https://www.jellycat.com/images/products/medium/JELC4BC.jpg,2024-01-10 08:28:30
38748c1b-c212-4865-8e9d-b4b4746dd01a,Jellycat Bag,Collections/Super Softies,/us/jellycat-bag-jelc4bg/,https://www.jellycat.com/images/products/medium/JELC4BG.jpg,2024-01-10 08:28:30
6bfa4f82-ffc1-48a4-b2fb-94882aa62729,Junglie Monkey,Collections/Super Softies,/us/junglie-monkey-jun3mk/,https://www.jellycat.com/images/products/medium/JUN3MK.jpg,2024-01-10 08:28:30
f830f044-0394-4599-8e02-86449b440f0f,Truffles Sheep,Collections/Super Softies,/us/truffles-sheep-tr2se/,https://www.jellycat.com/images/products/medium/TR2SE.jpg,2024-01-10 08:28:30
891d0a86-63ac-4bda-a0c0-4ecdd5bace3a,Golden Dragon,Collections/Beautifully Scrumptious,/us/golden-dragon-gld2dd/,https://www.jellycat.com/images/products/medium/GLD2DD.jpg,2024-01-10 08:28:30
ad6f1ce6-14d1-47ea-805b-37c65500713c,Golden Dragon Bag Charm,Bags/Bag Charms,/us/golden-dragon-bag-charm-gld4bc/,https://www.jellycat.com/images/products/medium/GLD4BC.jpg,2024-01-10 08:28:30
13a049d1-81ce-4232-98c3-0d187ea2db5f,Lavender Dragon Bag Charm,Bags/Bag Charms,/us/lavender-dragon-bag-charm-lav4bc/,https://www.jellycat.com/images/products/medium/LAV4BC.jpg,2024-01-10 08:28:30
