jellycatsizeid,jellycatid,jellycatname,size,height,width,price,stock,datecreated
57ad1dd1-3694-4cb3-9fdc-e60bd7ea718f,d0379e3f-e857-4867-b808-d076f397557e,Bashful Luxe Bunny Azure,HUGE,20.0,8.0,85.0,In Stock,2024-01-11 07:02:56
1e4adbeb-8d18-4f01-9e3c-b614e1a66a7e,d0379e3f-e857-4867-b808-d076f397557e,Bashful Luxe Bunny Azure,MEDIUM,12.0,5.0,35.0,In Stock,2024-01-11 07:02:56
29a6a050-46f3-42a5-9a9e-b6a6c80ac2d3,5c5d97d6-6172-4a85-9d9a-3368c521e766,All Kinds of Cats Book,ONE SIZE,9.0,7.0,15.0,In Stock,2024-01-11 07:02:57
8d0d2f1f-b83f-41b4-a420-4564a2702e6f,484d5a7c-e70b-4935-a878-2849573e389a,Fergus Frog,ONE SIZE,13.0,4.0,50.0,In Stock,2024-01-11 07:02:59
c4e925da-7961-41ab-ba19-fe255d33d9dd,58f0fb19-5fa0-4fa2-9531-7d5c92cbff6b,Jellycat Head Giant,ONE SIZE,22.0,24.0,220.0,In Stock,2024-01-11 07:03:01
7146304b-75b8-48c1-b112-8955b1bd99d4,a410dfc7-a583-4270-b224-10ae09be6fbe,Jellycat Jack,REALLY BIG,26.0,9.0,165.0,In Stock,2024-01-11 07:03:03
bf9d21d2-f6f6-4f04-9832-bb8cb0b63560,a410dfc7-a583-4270-b224-10ae09be6fbe,Jellycat Jack,HUGE,19.0,6.0,110.0,In Stock,2024-01-11 07:03:03
5e8ee8ef-f50e-4b98-9f1e-5f80aea294ea,a410dfc7-a583-4270-b224-10ae09be6fbe,Jellycat Jack,MEDIUM,13.0,4.0,45.0,More on the way,2024-01-11 07:03:03
0d625dce-020a-4f9e-8c8e-194acb143feb,6a3be151-e56f-4459-ba60-50d33562ade6,Jellycat Bag Charm,ONE SIZE,5.0,4.0,28.0,In Stock,2024-01-11 07:03:05
eb776327-4822-49ef-9e87-f28e4cc2a8fc,89e63f39-c184-4cda-bf9b-a5402007388f,Jellycat Bag,ONE SIZE,6.0,9.0,45.0,In Stock,2024-01-11 07:03:06
ae52e040-d81b-4ddf-afca-56244a123499,bb394faa-4d09-4d24-a43d-b9bc0bef6b41,Junglie Monkey,MEDIUM,18.0,7.0,55.0,In Stock,2024-01-11 07:03:10
d3305af7-bddf-4441-8871-bb91f7eeb0cf,998ecb21-f93c-41e9-82ce-6ac570bae025,Truffles Sheep,LARGE,9.0,25.0,110.0,In Stock,2024-01-11 07:03:11
bd41e7ee-d927-4ac9-9f65-582d18a4f6ef,9e7ae986-13bf-4136-bb25-e0934263f012,Darvin Dragon,ONE SIZE,9.0,8.0,50.0,In Stock,2024-01-11 07:03:13
39b28b9f-6da6-4c86-85bb-9067ea1cfdb6,97e92308-d779-43b7-b617-b786807f98b5,Golden Dragon,HUGE,7.0,26.0,120.0,In Stock,2024-01-11 07:03:17
1d71ebae-2c9a-4748-bf2f-abff2b9ae86e,97e92308-d779-43b7-b617-b786807f98b5,Golden Dragon,LARGE,5.0,20.0,65.0,In Stock,2024-01-11 07:03:17
33dfedfe-d18f-44cd-a7aa-20ac7232c831,97e92308-d779-43b7-b617-b786807f98b5,Golden Dragon,LITTLE,3.0,12.0,32.5,In Stock,2024-01-11 07:03:17
b68222af-a0c7-4f6b-973b-fda645d32f66,c8a72df3-a98b-4372-bd1a-e1b7b4e01bb1,Golden Dragon Bag Charm,ONE SIZE,5.0,9.0,28.0,In Stock,2024-01-11 07:03:19
961c7f01-2619-4454-8f27-cdd7fdd7b980,4ad00428-c64b-47c1-ad98-43488bcdc851,Lavender Dragon Bag Charm,ONE SIZE,5.0,9.0,28.0,In Stock,2024-01-11 07:03:22
54aece99-a41f-4860-812f-0d36e9090b6b,eae5bfcc-610e-4160-b476-f6362a4e6249,Little Dragon Bag Charm,ONE SIZE,7.0,2.0,23.0,In Stock,2024-01-11 07:03:24
2068847e-3a4f-48f9-b3af-06f1d10ef0d7,85f733e7-f08f-4340-962a-e9f9db84c32e,Rose Dragon Bag Charm,ONE SIZE,5.0,9.0,28.0,In Stock,2024-01-11 07:03:26
c34c3a7a-b162-4ae5-8d26-70f7e21f1c78,44c75992-2abf-47aa-98a1-d3f94fb27b45,Snow Dragon Bag Charm,ONE SIZE,5.0,9.0,28.0,In Stock,2024-01-11 07:03:28
f2ceeb1d-8461-4df5-827b-e76e80df484d,e184a641-fe29-47a3-a75f-c9591005fcd2,Aimee Sheep,ONE SIZE,8.0,9.0,40.0,In Stock,2024-01-11 07:03:29
18a48907-d527-4e60-a450-bb65e7a259f5,5f078709-16ae-4380-b537-40228a8615d7,Bashful Red Love Heart Bunny,MEDIUM,12.0,5.0,32.0,In Stock,2024-01-11 07:03:32
f40d74d1-dcc0-432e-ab08-d8d28f42358a,5f078709-16ae-4380-b537-40228a8615d7,Bashful Red Love Heart Bunny,SMALL,7.0,4.0,25.0,In Stock,2024-01-11 07:03:32
8a641d3c-ac90-4f94-92d8-3887f49fd418,ebbbae3c-12c8-4ea3-a6e3-deae70bddbd3,Fabian Frog Prince,ONE SIZE,9.0,8.0,40.0,In Stock,2024-01-11 07:03:34
8176d4a6-6073-491a-ac48-6bb6dcdb6e2d,2095b13f-ece6-4127-a3d4-a7b7920fd9ed,Loulou Love Bug,ONE SIZE,2.0,5.0,20.0,In Stock,2024-01-11 07:03:35
81fec781-4764-406b-b619-ee0d404ace64,957123f4-1877-48ff-8cb9-a7d81a9c6c2e,Amore Bunny,MEDIUM,10.0,7.0,40.0,In Stock,2024-01-11 07:03:37
56646678-aac1-4d79-8376-38511f8a5d26,a9a51c6e-5c70-430f-9eca-0a3854fd378f,Bibbly Bobbly Sheep,ONE SIZE,14.0,9.0,55.0,In Stock,2024-01-11 07:03:38
a7151615-6b65-4fdf-8336-fd24cc65bcae,3ae0e83a-5ff1-4f96-992c-efaba63414e0,Brynlee Bee,ONE SIZE,5.0,6.0,28.0,In Stock,2024-01-11 07:03:40
fc3fdc14-5eeb-40a9-b974-56cac29ad9d0,6be16c93-9171-4c57-b684-7f3ac134e9db,Bartholomew Bear Bathrobe,MEDIUM,10.0,5.0,45.0,In Stock,2024-01-11 07:03:42
4a7a8c03-2057-46cb-9007-a769c1fc5b37,f7503b11-e4a3-4e0e-bd3e-17227c363c7b,Bashful Duckling,MEDIUM,12.0,5.0,28.0,In Stock,2024-01-11 07:03:43
e2e7200c-d700-49cf-a21d-3d75dca6d143,508e587a-bb8d-477c-841f-6ba5e85f478f,Bashful Moss Bunny,MEDIUM,12.0,5.0,28.0,In Stock,2024-01-11 07:03:45
a4ac4495-800b-4f0c-bea0-b7b2d7738085,508e587a-bb8d-477c-841f-6ba5e85f478f,Bashful Moss Bunny,SMALL,7.0,4.0,18.0,In Stock,2024-01-11 07:03:45
969a6914-22fe-44a6-889c-1396535ba029,55c2d016-ea0b-45d4-ac32-0b227f432df0,Bashful Viola Bunny,MEDIUM,12.0,5.0,28.0,In Stock,2024-01-11 07:03:47
d7806bdf-369b-49ed-b57f-8de5444c7143,55c2d016-ea0b-45d4-ac32-0b227f432df0,Bashful Viola Bunny,SMALL,7.0,4.0,18.0,In Stock,2024-01-11 07:03:47
