jellycatsizeid,jellycatid,jellycatname,size,price,stock,height,width,datecreated
5a5006e5-8749-4f43-bea1-2e404b2b86af,80676ce0-30fe-4095-b283-1ca2536c3625,Bashful Luxe Bunny Azure,HUGE,85.0,In Stock,20.0,8.0,2024/01/09 16:10:57
eff5cfcd-13ad-4f7c-b837-f234be7bc2e5,80676ce0-30fe-4095-b283-1ca2536c3625,Bashful Luxe Bunny Azure,MEDIUM,35.0,In Stock,12.0,5.0,2024/01/09 16:10:57
344249ce-a391-4e8b-aa9a-27b7e896d4c8,d5d86e04-d9e8-4116-814b-7e40f25cceeb,All Kinds of Cats Book,ONE SIZE,15.0,In Stock,9.0,7.0,2024/01/09 16:10:59
065f4930-4226-4a57-a8a1-bd2ada25d2b0,a07fd8f8-d7ed-4d87-a046-30c0cfc30212,Fergus Frog,ONE SIZE,50.0,In Stock,13.0,4.0,2024/01/09 16:11:01
5711a68d-9bb0-49d4-ae7f-bc64b6d6f1d8,b0bf0679-c7e8-424c-879a-4ffc11521ac4,Jellycat Head Giant,ONE SIZE,220.0,In Stock,22.0,24.0,2024/01/09 16:11:02
e2c48a01-3477-4698-8754-5672057df84a,e281de19-a7ef-4d5a-9565-382a9ed0508a,Jellycat Jack,REALLY BIG,165.0,In Stock,26.0,9.0,2024/01/09 16:11:04
6216162e-6346-4b65-91cb-05a983fc78e4,e281de19-a7ef-4d5a-9565-382a9ed0508a,Jellycat Jack,HUGE,110.0,In Stock,19.0,6.0,2024/01/09 16:11:04
e4025771-202a-4841-8708-3b0b3d33eb27,e281de19-a7ef-4d5a-9565-382a9ed0508a,Jellycat Jack,MEDIUM,45.0,More on the way,13.0,4.0,2024/01/09 16:11:04
d3581303-e3d8-419e-9e70-c9789716a419,30a79ef7-e89b-4076-8307-56eafe660404,Jellycat Bag Charm,ONE SIZE,28.0,In Stock,5.0,4.0,2024/01/09 16:11:06
46d8b8f4-5200-452d-9b0e-39d4d5cd82ba,ad484d46-aefd-40bb-b067-3572bbe66108,Jellycat Bag,ONE SIZE,45.0,In Stock,6.0,9.0,2024/01/09 16:11:07
89a3d462-e96c-4ce2-a451-2aa1eb0b959b,c8181793-9570-4db8-ad6a-752362be77c7,Junglie Monkey,MEDIUM,55.0,In Stock,18.0,7.0,2024/01/09 16:11:09
e5f2e49f-2cf2-40ec-b4bd-c2c2eef78642,0314adf9-d847-448a-bf0e-51322d916ac5,Truffles Sheep,LARGE,110.0,In Stock,9.0,25.0,2024/01/09 16:11:11
368001d8-fbff-4249-a366-835a4c143e89,15e8a218-46a4-4d00-a086-c84e8b49a6bc,Golden Dragon,HUGE,120.0,In Stock,7.0,26.0,2024/01/09 16:11:13
dea7e15d-598b-497e-9c29-9e5e6de84e57,15e8a218-46a4-4d00-a086-c84e8b49a6bc,Golden Dragon,LARGE,65.0,In Stock,5.0,20.0,2024/01/09 16:11:13
6be46072-baf9-4d8c-990d-584b030343df,15e8a218-46a4-4d00-a086-c84e8b49a6bc,Golden Dragon,LITTLE,32.5,In Stock,3.0,12.0,2024/01/09 16:11:13
f30f8068-b6b8-4310-be6a-9ff145cf1d6b,1f4bf1c2-52b6-4b2b-ba40-f702196c13f8,Golden Dragon Bag Charm,ONE SIZE,28.0,In Stock,5.0,9.0,2024/01/09 16:11:14
0b77a0f9-908b-4da8-8966-2c44056a1f8f,fdcb57e3-6265-4027-9372-e0d8c2e39cc5,Lavender Dragon Bag Charm,ONE SIZE,28.0,In Stock,5.0,9.0,2024/01/09 16:11:16
e5fa5b3b-ab49-4bb8-9fd5-8302d1bedd88,9d263a97-7f7b-4976-b170-0f66ecd58269,Little Dragon Bag Charm,ONE SIZE,23.0,In Stock,7.0,2.0,2024/01/09 16:11:17
716c7c37-1e59-469a-9faf-9424ab63a8dc,afa4ff9a-d870-4a20-8634-87d77a61de58,Snow Dragon Bag Charm,ONE SIZE,28.0,In Stock,5.0,9.0,2024/01/09 16:11:19
b448ac0b-4eec-4217-8f91-33e1a1a0b915,81a0c0b7-1c7b-40c0-a62e-09afa3ee7e2a,Aimee Sheep,ONE SIZE,40.0,In Stock,8.0,9.0,2024/01/09 16:11:20
401b4dbe-b105-40e5-94de-2dad174a7e90,4c1ff955-6f62-4a8d-8b42-d05f58cf74cd,Bashful Red Love Heart Bunny,MEDIUM,32.0,In Stock,12.0,5.0,2024/01/09 16:11:22
d0e271f8-ca38-475d-af0f-34fb11c29d71,4c1ff955-6f62-4a8d-8b42-d05f58cf74cd,Bashful Red Love Heart Bunny,SMALL,25.0,In Stock,7.0,4.0,2024/01/09 16:11:22
61603b85-7ab0-4aa7-8a31-03d10cafcae5,04297d97-2c0b-4501-b236-3c26c459a084,Fabian Frog Prince,ONE SIZE,40.0,In Stock,9.0,8.0,2024/01/09 16:11:24
67f3b96d-ccd1-4fb2-96d2-fad638d329fd,3f75fb53-5b3c-491e-a324-c48d7f3b64a4,Loulou Love Bug,ONE SIZE,20.0,In Stock,2.0,5.0,2024/01/09 16:11:26
52ed732a-972f-43e4-94ca-5e9b6c7da25d,ff1785b7-71b2-4ada-9c9b-63085e817421,Amore Bunny,MEDIUM,40.0,In Stock,10.0,7.0,2024/01/09 16:11:27
d6b600c5-415a-4e67-ab2d-b1dedbc2083f,8c84d4d9-cc1e-4407-9e85-18b322e33c26,Bibbly Bobbly Sheep,ONE SIZE,55.0,In Stock,14.0,9.0,2024/01/09 16:11:29
de3097c0-c367-4816-81cc-18bc8a253d19,1cb164b1-d139-40d7-b172-734b646d836a,Brynlee Bee,ONE SIZE,28.0,In Stock,5.0,6.0,2024/01/09 16:11:30
19cea0b3-23ac-48db-8cad-3872db7f459b,198d8f4c-186e-4715-b660-8043835d531e,Bartholomew Bear Bathrobe,MEDIUM,45.0,In Stock,10.0,5.0,2024/01/09 16:11:32
a20227e2-3776-4c5c-a4cd-1ed06d7c66bb,fc3f74a4-b702-42c8-96fe-375e0c23151e,Bashful Duckling,MEDIUM,28.0,In Stock,12.0,5.0,2024/01/09 16:11:34
f6d1dff7-92e8-49eb-9cda-70d398075d8a,8dadfafb-b42b-4c62-9bc8-ae38564e1a47,Bashful Moss Bunny,MEDIUM,28.0,In Stock,12.0,5.0,2024/01/09 16:11:36
