jellycatsizeid,jellycatid,jellycatname,size,height,width,price,stock,datecreated
a62c3e12-fc91-4ce8-b754-c9ea601c9baf,91571a20-407d-4c1b-ab85-e73366bb25a0,Bartholomew Bear Pumpkin,LARGE,14.0,8.0,55.0,In Stock,2024-01-14 10:23:41
d09a8fc6-9fbc-4dbe-8d29-7d450057ee9d,95d70af2-ddf7-401e-8d39-8127c0c647f6,Bashful Luxe Bunny Azure,HUGE,20.0,8.0,85.0,In Stock,2024-01-14 10:23:43
781e8a27-470b-47a9-9442-f160e9e4f9b7,95d70af2-ddf7-401e-8d39-8127c0c647f6,Bashful Luxe Bunny Azure,MEDIUM,12.0,5.0,35.0,In Stock,2024-01-14 10:23:43
4de8a76c-93b3-4e76-a400-ccc347590ca7,db891533-91a1-4767-b8ff-d44adaa3963b,All Kinds of Cats Book,ONE SIZE,9.0,7.0,15.0,In Stock,2024-01-14 10:23:45
9a0796b8-0998-4653-9767-c7029ba3e9a0,2ef3123c-f204-4743-b304-99b50785249e,Fergus Frog,ONE SIZE,13.0,4.0,50.0,In Stock,2024-01-14 10:23:47
f57cf72c-49b1-4a27-b1ca-c25f6424bf1b,91b1627e-0150-4a6e-a574-30b79844f59c,Jellycat Head Giant,ONE SIZE,22.0,24.0,220.0,In Stock,2024-01-14 10:23:48
3b0e2f87-5248-421c-8b32-a6c741e85e37,8501e2e5-64ad-40b5-b63c-a57372e8e39b,Jellycat Jack,REALLY BIG,26.0,9.0,165.0,In Stock,2024-01-14 10:23:50
3e993cff-d649-4104-8761-08c2e2a9ebfb,8501e2e5-64ad-40b5-b63c-a57372e8e39b,Jellycat Jack,HUGE,19.0,6.0,110.0,In Stock,2024-01-14 10:23:50
7a98de47-3f4b-4fa4-b464-b811dc614da9,8501e2e5-64ad-40b5-b63c-a57372e8e39b,Jellycat Jack,MEDIUM,13.0,4.0,45.0,More on the way,2024-01-14 10:23:50
82938e35-8c55-4fba-ad8b-5d3403f63c83,78d9d93e-bb89-48cc-a0b3-6bad54d418e6,Jellycat Bag Charm,ONE SIZE,5.0,4.0,28.0,In Stock,2024-01-14 10:23:52
7d0bf7cc-243d-46cd-958f-3933ff1ea695,dfd6870c-7344-43ef-8ea4-6373420ecb50,Jellycat Bag,ONE SIZE,6.0,9.0,45.0,In Stock,2024-01-14 10:23:53
d9d10bde-8c0b-4a38-bdad-edcedd2af12d,2fd82a11-9a44-4429-8feb-0d906bd48883,Junglie Monkey,MEDIUM,18.0,7.0,55.0,In Stock,2024-01-14 10:23:55
9fb3aa1d-4f73-4888-87da-e5c1bce487cf,1b2ff91a-ff15-4705-aa65-29913b38ec34,Truffles Sheep,LARGE,9.0,25.0,110.0,In Stock,2024-01-14 10:23:56
0b6ccaea-667b-4466-8020-6165cdf6fb79,2492ba9f-81c7-42d3-acad-04d8394905a0,Darvin Dragon,ONE SIZE,9.0,8.0,50.0,In Stock,2024-01-14 10:23:58
71ea510f-3c3f-4574-856a-5afa3f9d0ed8,d609960e-3fe9-48ab-82ed-86960e503bec,Golden Dragon,HUGE,7.0,26.0,120.0,In Stock,2024-01-14 10:24:00
7bed820f-3ffb-4585-ba0d-80af69b97a00,d609960e-3fe9-48ab-82ed-86960e503bec,Golden Dragon,LARGE,5.0,20.0,65.0,In Stock,2024-01-14 10:24:00
c0f36aa2-a3f0-4608-b60d-4932d068e462,d609960e-3fe9-48ab-82ed-86960e503bec,Golden Dragon,LITTLE,3.0,12.0,32.5,In Stock,2024-01-14 10:24:00
c4a7980b-15fa-4c81-8f3b-8d712da166f3,58c85529-f06b-43ed-b5d0-5a8f24e77ee0,Golden Dragon Bag Charm,ONE SIZE,5.0,9.0,28.0,In Stock,2024-01-14 10:24:02
fe04c5f8-6cc7-486a-b5c1-06521c373286,db6c0e7b-f002-40f0-a3ef-b72252d20bc2,Lavender Dragon Bag Charm,ONE SIZE,5.0,9.0,28.0,In Stock,2024-01-14 10:24:03
0d817526-0320-47e7-8f0d-829c245e1dde,71842e49-1009-4326-8087-9e7840f166bc,Little Dragon Bag Charm,ONE SIZE,7.0,2.0,23.0,In Stock,2024-01-14 10:24:05
c31ec4e0-cb5d-438b-a3d7-3a742747275d,c51146ca-d2e8-4e9d-9557-ecbeee14529f,Rose Dragon Bag Charm,ONE SIZE,5.0,9.0,28.0,In Stock,2024-01-14 10:24:07
a08d1b66-612b-41b8-a545-c4a1fa5d5dff,9093ebed-cc96-40fb-8622-c30454ed8d08,Snow Dragon Bag Charm,ONE SIZE,5.0,9.0,28.0,In Stock,2024-01-14 10:24:08
d061cb90-cda6-4c49-91bd-d416a7dca774,cb656d35-775c-4cfc-ab4b-095157e35528,Aimee Sheep,ONE SIZE,8.0,9.0,40.0,In Stock,2024-01-14 10:24:10
4ef6472e-4e46-46ff-b7d4-62f25032b52a,59c704e9-9ac9-42f1-a347-092edb098f7f,Bashful Red Love Heart Bunny,MEDIUM,12.0,5.0,32.0,More on the way,2024-01-14 10:24:11
3abc0bcc-4c4b-4b57-b29f-3b5285d90de3,59c704e9-9ac9-42f1-a347-092edb098f7f,Bashful Red Love Heart Bunny,SMALL,7.0,4.0,25.0,In Stock,2024-01-14 10:24:11
bd9a01ae-c226-48dc-85bf-eb5eb5ceb3cc,3a9694f2-3f41-452d-8345-6a27f7a4d7c4,Fabian Frog Prince,ONE SIZE,9.0,8.0,40.0,In Stock,2024-01-14 10:24:13
416b0c0e-57c0-41a0-b4c4-943ff8b99a89,041d2c99-2546-4a81-9ff5-596210ded5b9,Loulou Love Bug,ONE SIZE,2.0,5.0,20.0,In Stock,2024-01-14 10:24:14
8b395ff2-e09b-464f-8508-face16b905d6,29e1ab36-4bfa-44c4-9a15-687f5fbdff87,Amore Bunny,MEDIUM,10.0,7.0,40.0,In Stock,2024-01-14 10:24:16
8be9da5e-862c-46ea-8e10-041e49618edb,c0a2e734-fee5-462d-b34e-e776ded0d6f7,Bibbly Bobbly Sheep,ONE SIZE,14.0,9.0,55.0,In Stock,2024-01-14 10:24:18
5077207a-6884-49af-9445-48d99d1ee1bf,6a2c05ab-3f86-4291-8c04-ea17bd2465c8,Brynlee Bee,ONE SIZE,5.0,6.0,28.0,In Stock,2024-01-14 10:24:19
92ad4c56-401d-40f7-bf9e-b621011ae8ed,e7eeef87-1a76-4219-84dd-96f6a1450bec,Bartholomew Bear Bathrobe,MEDIUM,10.0,5.0,45.0,In Stock,2024-01-14 10:24:21
fe6316a4-4a59-47f3-b88e-b37484016050,7b94d198-2331-4834-bc31-0586856dfce5,Bashful Duckling,MEDIUM,12.0,5.0,28.0,In Stock,2024-01-14 10:24:22
e54710fb-cb95-4af7-b826-d71d91054a03,8b07ff55-6a1f-4091-879a-e36c455f507a,Bashful Moss Bunny,MEDIUM,12.0,5.0,28.0,In Stock,2024-01-14 10:24:24
95333818-8542-4a96-9239-b42ff11a5b94,8b07ff55-6a1f-4091-879a-e36c455f507a,Bashful Moss Bunny,SMALL,7.0,4.0,18.0,In Stock,2024-01-14 10:24:24
d4482614-3d84-44dd-bb13-16429b653d8e,73d2a533-6401-46bb-8d21-458d1305c6fb,Bashful Viola Bunny,MEDIUM,12.0,5.0,28.0,In Stock,2024-01-14 10:24:27
7bdbdec8-1865-410f-9860-eb579ed0acc0,73d2a533-6401-46bb-8d21-458d1305c6fb,Bashful Viola Bunny,SMALL,7.0,4.0,18.0,In Stock,2024-01-14 10:24:27
5b831c3d-1b52-4918-9816-5eb3592181be,9466a624-724d-40b9-98e9-95ec6bb1cfe5,Bashful Bunny with Carrot,SMALL,7.0,4.0,28.0,In Stock,2024-01-14 10:24:28
bc7cfaac-92cc-48be-b53b-d1de9cdd92de,f6c6db20-3572-40bf-8634-3f1e6a1a9d76,Bashful Bunny with Daffodil,SMALL,7.0,4.0,28.0,In Stock,2024-01-14 10:24:30
616b0a72-4b54-4497-b7bb-ea416470e1b2,0071507e-9a81-4c62-a968-0c3388ebd8ee,Lottie Fairy Bunny Book,ONE SIZE,7.0,7.0,15.0,In Stock,2024-01-14 10:24:31
0879c99d-9b47-4233-a983-424899f7330d,cf1586c4-68b1-4d67-8ad0-17562992d0ef,Blossom Cherry Bunny,MEDIUM,12.0,5.0,28.0,In Stock,2024-01-14 10:24:33
5879ff6b-8170-428f-9a08-78ee0f688ae4,cf1586c4-68b1-4d67-8ad0-17562992d0ef,Blossom Cherry Bunny,SMALL,7.0,4.0,18.0,In Stock,2024-01-14 10:24:33
373b7826-4bb4-46a2-8f88-1e19bc6d71ed,e8a7959c-f9c9-4fdd-875f-a01c3995886a,Dainty Dessert Bunny Cupcake,ONE SIZE,6.0,4.0,28.0,In Stock,2024-01-14 10:24:34
e62b0475-152f-4506-b0fb-d0a448c15f21,49bffb31-3d4b-4dd6-b999-945d37d4f4b6,Dainty Dessert Bunny Macaron,ONE SIZE,5.0,5.0,28.0,In Stock,2024-01-14 10:24:36
799748b1-9c33-46a4-83a5-a1646cd9b8fd,381f3829-21ad-4018-b997-49982c1efa2f,Fluffy Chicken,ONE SIZE,4.0,2.0,15.0,In Stock,2024-01-14 10:24:37
fe6799bd-9504-47a7-aa02-ae3d53dadb14,5a2133e0-bd1a-4f99-8489-e9c8e512143b,Fluffy Duck,ONE SIZE,4.0,2.0,15.0,In Stock,2024-01-14 10:24:39
82553aad-3e7c-4297-9d3e-13251e75a095,0a87c1ee-9a77-411a-bfd0-6c2b0358e1d7,Finnegan Frog,ONE SIZE,9.0,3.0,20.0,In Stock,2024-01-14 10:24:41
a97f674a-4d32-4832-9078-617a336a361d,3dfa8ca0-011e-4240-810a-8ff9680cc312,Lottie Bunny Fairy,ONE SIZE,11.0,3.0,32.5,In Stock,2024-01-14 10:24:43
aa73eb15-0315-4669-920e-c0cd107a9256,5b76f42c-ca1b-4906-ad29-35a608f9bfc3,Smudge Rabbit Big,BIG,6.0,17.0,75.0,In Stock,2024-01-14 10:24:44
a5f7ed8a-1b73-4b58-8127-1fcc13aef667,6b4049f4-e2dc-4994-8707-29681e1a5b99,Amore Corgi,MEDIUM,10.0,7.0,40.0,In Stock,2024-01-14 10:24:46
e659ec26-4752-4bd2-aa19-bcd30ccf6a0d,bbd2d0e8-07f2-44ba-9682-cd52ef37ae7a,Bashful Pegasus,MEDIUM,12.0,5.0,28.0,In Stock,2024-01-14 10:24:47
81f0f152-b1ac-43ff-89f9-a0f64d6677eb,e4cb3b26-bfd5-455b-9e47-dfd74c523cd6,If I Were an Owl Board Book,ONE SIZE,6.0,6.0,13.5,In Stock,2024-01-14 10:24:49
4ea8f6de-010b-419b-9673-22525bb3a267,d0e04590-52e4-49d6-ac4d-bcbe6eaa00af,Betty Corgi Bag Charm,ONE SIZE,4.0,2.0,23.0,In Stock,2024-01-14 10:24:50
61bd46e1-2a6e-4bdf-af8c-f72bedb52cd4,a961ef67-bf75-4db0-8377-6997729e9e55,Rory Le Courageux Petit Lion Livre (The Very Brave Lion),ONE SIZE,9.0,9.0,15.0,In Stock,2024-01-14 10:24:52
c37d65e6-f131-4769-a301-bc51198a6f5f,14f59e15-9cd0-4275-9c5f-f18c22569e8e,Lapin Timide Et Ses Petites Aventures Livre (Little Me),ONE SIZE,8.0,8.0,15.0,In Stock,2024-01-14 10:24:53
dac35022-de26-43fc-960a-6e71f7cfbd63,0114618f-7642-4e05-bcd1-2ce0eef015ea,Lapin Timide Veille Sur Tes Nuits Livre (The Magic Bunny),ONE SIZE,7.0,7.0,15.0,In Stock,2024-01-14 10:24:55
cc7dc479-7257-48f2-bffd-958d85ba759f,870673a7-c419-4e20-a7d6-d811fdeb0b00,Lapin Timide Veut Grandir Livre (When I Am Big),ONE SIZE,8.0,8.0,15.0,In Stock,2024-01-14 10:24:57
dbe6c4b5-268c-4e91-b0f0-7c34a25c222c,9f10190e-153e-458c-a56c-c71b38fd0762,Bodacious Beak Parrot,ONE SIZE,9.0,4.0,30.0,In Stock,2024-01-14 10:24:58
9a6e9286-35e4-495d-a614-db6af3bf4426,a02dd6dc-c4d2-4a5f-8fcb-832f4356feee,Bodacious Beak Toucan,ONE SIZE,9.0,4.0,30.0,In Stock,2024-01-14 10:25:00
f0109af6-6f10-4c98-a99a-8f9db1e41a25,b1b1d5de-6fe9-4af7-9828-2e1022e9acb1,Bryno Dino,ONE SIZE,12.0,6.0,55.0,In Stock,2024-01-14 10:25:01
