jellycatid,jellycatname,category,link,imagelink,datecreated
9b9b8631-42c2-43d4-95d8-12e0d6ffbdf0,Bashful Luxe Bunny Azure,Collections/Bashful Bunnies,/us/bashful-luxe-bunny-azure-bas3azu/,https://www.jellycat.com/images/products/medium/BAS3AZU.jpg,2024-01-08 19:11:49
e859689f-729a-42be-80cd-ba06db585941,All Kinds of Cats Book,Books/Story Books,/us/all-kinds-of-cats-book-bk4cats/,https://www.jellycat.com/images/products/medium/BK4CATS.jpg,2024-01-08 19:11:49
e40b4800-b9fa-4de1-9e3c-41598c28e734,Fergus Frog,Collections/Super Softies,/us/fergus-frog-ff3fe/,https://www.jellycat.com/images/products/medium/FF3FE.jpg,2024-01-08 19:11:49
d274cea0-2880-45ff-a9f9-49342d97e840,Jellycat Head Giant,Collections/Super Softies,/us/jellycat-head-giant-jelc1d/,https://www.jellycat.com/images/products/medium/JELC1D.jpg,2024-01-08 19:11:49
568f558d-e999-4da3-b338-03eb70c9db1c,Jellycat Jack,Collections/Super Softies,/us/jellycat-jack-jelc3m/,https://www.jellycat.com/images/products/medium/JELC3M.jpg,2024-01-08 19:11:49
d2c8582b-611a-4868-8890-491716eba33f,Jellycat Bag Charm,Collections/Super Softies,/us/jellycat-bag-charm-jelc4bc/,https://www.jellycat.com/images/products/medium/JELC4BC.jpg,2024-01-08 19:11:49
55481758-63e1-4d68-8c1f-6982705181dc,Jellycat Bag,Collections/Super Softies,/us/jellycat-bag-jelc4bg/,https://www.jellycat.com/images/products/medium/JELC4BG.jpg,2024-01-08 19:11:49
a74493cc-3754-434c-98f7-efce32f570a6,Junglie Monkey,Collections/Super Softies,/us/junglie-monkey-jun3mk/,https://www.jellycat.com/images/products/medium/JUN3MK.jpg,2024-01-08 19:11:49
a57dc462-fe8e-4a5b-aea2-ec24792d8b55,Truffles Sheep,Collections/Super Softies,/us/truffles-sheep-tr2se/,https://www.jellycat.com/images/products/medium/TR2SE.jpg,2024-01-08 19:11:49
0c0b9edf-c5cd-4e4b-a65d-6be7d05207db,Golden Dragon,Collections/Beautifully Scrumptious,/us/golden-dragon-gld2dd/,https://www.jellycat.com/images/products/medium/GLD2DD.jpg,2024-01-08 19:11:49
6e3876d1-8729-4b9a-9edd-465c2a145c19,Golden Dragon Bag Charm,Bags/Bag Charms,/us/golden-dragon-bag-charm-gld4bc/,https://www.jellycat.com/images/products/medium/GLD4BC.jpg,2024-01-08 19:11:49
47a71f73-4fd2-4fc8-a532-7f67872f9a93,Lavender Dragon Bag Charm,Bags/Bag Charms,/us/lavender-dragon-bag-charm-lav4bc/,https://www.jellycat.com/images/products/medium/LAV4BC.jpg,2024-01-08 19:11:49
f25bd69a-d3f3-4331-8271-cb99944e0362,Little Dragon Bag Charm,Bags/Bag Charms,/us/little-dragon-bag-charm-ldg4bc/,https://www.jellycat.com/images/products/medium/LDG4BC.jpg,2024-01-08 19:11:49
c181f4ec-ac01-49d2-91db-2236944c86ba,Rose Dragon Bag Charm,Bags/Bag Charms,/us/rose-dragon-bag-charm-rose4bc/,https://www.jellycat.com/images/products/medium/ROSE4BC.jpg,2024-01-08 19:11:49
14cdd830-718d-41c7-9246-66a1ae1695f2,Snow Dragon Bag Charm,Bags/Bag Charms,/us/snow-dragon-bag-charm-snw4bc/,https://www.jellycat.com/images/products/medium/SNW4BC.jpg,2024-01-08 19:11:49
136035f6-13ae-4623-80f0-86a2f019b5a5,Aimee Sheep,Collections/Colourful & Quirky,/us/aimee-sheep-ame2s/,https://www.jellycat.com/images/products/medium/AME2S.jpg,2024-01-08 19:11:49
82aaf2ec-73b7-4320-bd59-8ab8639a4dc6,Bashful Red Love Heart Bunny,Collections/Colourful & Quirky,/us/bashful-red-love-heart-bunny-bb3love/,https://www.jellycat.com/images/products/medium/BB3LOVE.jpg,2024-01-08 19:11:49
3ebd1de7-3405-4479-908a-c3d5b86a434e,Fabian Frog Prince,Collections/Colourful & Quirky,/us/fabian-frog-prince-fp3fab/,https://www.jellycat.com/images/products/medium/FP3FAB.jpg,2024-01-08 19:11:49
7e5a3794-07c0-45d7-8f2f-229160cc617f,Loulou Love Bug,Collections/Colourful & Quirky,/us/loulou-love-bug-l6lbug/,https://www.jellycat.com/images/products/medium/L6LBUG.jpg,2024-01-08 19:11:49
8d99ae88-61d1-4eaf-9d7f-6f7009c3d8f9,Amore Bunny,Collections/Super Softies,/us/amore-bunny-am2b/,https://www.jellycat.com/images/products/medium/AM2B.jpg,2024-01-08 19:11:49
e3b66e13-4a47-4ecb-8c6f-1444845013dc,Bibbly Bobbly Sheep,Collections/Colourful & Quirky,/us/bibbly-bobbly-sheep-b2sh/,https://www.jellycat.com/images/products/medium/B2SH.jpg,2024-01-08 19:11:49
42f9f6ee-8610-45ed-a028-e65265798eef,Brynlee Bee,Collections/Colourful & Quirky,/us/brynlee-bee-b3bee/,https://www.jellycat.com/images/products/medium/B3BEE.jpg,2024-01-08 19:11:49
75fe5535-fc65-4295-a8b3-e72d87e48143,Bartholomew Bear Bathrobe,Collections/Super Softies,/us/bartholomew-bear-bathrobe-barm2br/,https://www.jellycat.com/images/products/medium/BARM2BR.jpg,2024-01-08 19:11:49
fbf5301d-b192-4aa3-9d4d-042b19bce0f3,Bashful Duckling,Collections/Bashfuls,/us/bashful-duckling-bas3dck/,https://www.jellycat.com/images/products/medium/BAS3DCK.jpg,2024-01-08 19:11:49
c74e22a0-e66f-4a47-adc6-f0af0f59d0bc,Bashful Moss Bunny,Collections/Bashful Bunnies,/us/bashful-moss-bunny-bas3moss/,https://www.jellycat.com/images/products/medium/BAS3MOSS.jpg,2024-01-08 19:11:49
f78452ee-fb12-4db3-acaa-0e6ded7aa4ac,Bashful Viola Bunny,Collections/Bashful Bunnies,/us/bashful-viola-bunny-bas3vb/,https://www.jellycat.com/images/products/medium/BAS3VB.jpg,2024-01-08 19:11:49
b79a2df9-711f-40c8-b1e7-5a42ac91be0a,Bashful Bunny with Carrot,Collections/Bashful Bunnies,/us/bashful-bunny-with-carrot-bb6c/,https://www.jellycat.com/images/products/medium/BB6C.jpg,2024-01-08 19:11:49
c0311cde-7b17-4d64-b2e9-0c15e018bbb8,Bashful Bunny with Daffodil,Collections/Bashful Bunnies,/us/bashful-bunny-with-daffodil-bb6df/,https://www.jellycat.com/images/products/medium/BB6DF.jpg,2024-01-08 19:11:49
87682ae5-2636-43ab-8447-6ac3206a5dc5,Lottie Fairy Bunny Book,Books/Story Books,/us/lottie-fairy-bunny-book-bk4lotbf/,https://www.jellycat.com/images/products/medium/BK4LOTBF.jpg,2024-01-08 19:11:49
e05cd47c-af7c-4939-9045-0eaa67b691ae,Blossom Cherry Bunny,Collections/Blossom Bunnies,/us/blossom-cherry-bunny-bl3che/,https://www.jellycat.com/images/products/medium/BL3CHE.jpg,2024-01-08 19:11:49
